"(PDH-CSV 4.0) (India Standard Time)(-330)","\\Z_ANXX1_HPPAVX1\Memory\% Committed Bytes In Use","\\Z_ANXX1_HPPAVX1\Memory\Available MBytes","\\Z_ANXX1_HPPAVX1\Processor Information(_Total)\% Processor Time"
"02/25/2023 11:22:10.697","83.631843115117362686","944","0.84177261328008956554"
"02/25/2023 11:22:11.695","83.58170282644724125","945","0.86565697395726282082"
"02/25/2023 11:22:12.690","83.57790265781291339","947","0.99247878927772870128"
"02/25/2023 11:22:13.684","83.603922832665006126","962","5.6731156406349958488"
"02/25/2023 11:22:14.698","83.605367523526169293","959","3.6166939611852355618"
"02/25/2023 11:22:15.691","83.629314900289600132","961","2.1034364374960201616"
"02/25/2023 11:22:16.686","83.645222215830628443","960","3.3039602644068577497"
"02/25/2023 11:22:17.697","83.639930254695912026","960","0.6857478646429937541"
"02/25/2023 11:22:18.691","83.640888143247209996","960","2.9293032847703459609"
"02/25/2023 11:22:19.687","83.920122260209211618","918","1.7294086381511641903"
"02/25/2023 11:22:20.687","83.63149764100823802","948","3.4292181214532591049"
"02/25/2023 11:22:21.684","83.633868811566813406","948","1.0206719745580628"
"02/25/2023 11:22:22.680","83.619641718366096939","949","1.0952125940417500871"
"02/25/2023 11:22:23.700","83.621196351857207674","952","3.364781767176361349"
"02/25/2023 11:22:24.680","83.64186174786692618","944","2.728679325656269139"
"02/25/2023 11:22:25.697","83.706920054672963261","944","1.7884627015162468666"
"02/25/2023 11:22:26.694","83.770973371288505405","927","3.3893480411797294316"
"02/25/2023 11:22:27.682","83.704580269685152416","938","3.1821966849754135254"
"02/25/2023 11:22:28.695","83.699225490842763975","934","3.7334632337808315583"
"02/25/2023 11:22:29.689","83.658381501133177949","936","0"
"02/25/2023 11:22:30.689","83.673111089429141884","933","4.2830584736435977078"
"02/25/2023 11:22:31.689","83.693352500836681429","932","2.6519064299368011461"
"02/25/2023 11:22:32.682","83.692818596887590843","930","1.8250036390548785015"
"02/25/2023 11:22:33.697","83.664317308846932519","925","4.0559757856073463955"
"02/25/2023 11:22:34.693","83.665934736762650914","936","5.7231957676357136933"
"02/25/2023 11:22:35.683","83.970843554467620606","919","2.4071492642245839733"
"02/25/2023 11:22:36.692","83.760169563759163225","920","2.443049039370637221"
"02/25/2023 11:22:37.694","83.908297746420913654","893","5.3894524322636749858"
"02/25/2023 11:22:38.681","84.07168944461076876","858","6.0974930384688157403"
"02/25/2023 11:22:39.690","84.171012110116663507","840","2.5290594057687965091"
"02/25/2023 11:22:40.691","84.419672117666266331","800","2.2412299653599476734"
"02/25/2023 11:22:41.697","84.184469744606047925","828","3.4324167033012442651"
"02/25/2023 11:22:42.691","84.165076325685973302","809","5.2734298550544123074"
"02/25/2023 11:22:43.690","84.189463356553915219","808","3.5749672434271961841"
"02/25/2023 11:22:44.686","84.263865087242763252","766","4.3299043163536721224"
"02/25/2023 11:22:45.690","84.339303193692884975","766","3.8559415094332138985"
"02/25/2023 11:22:46.680","84.485421372690566955","724","5.6975102300598106098"
"02/25/2023 11:22:47.692","84.490446393492263155","690","2.3914982296208919799"
"02/25/2023 11:22:48.690","84.463217082541248715","685","3.6502487108246661762"
"02/25/2023 11:22:49.678","84.406811204833630313","687","1.6795830062242167457"
"02/25/2023 11:22:50.682","84.361366178924541259","691","3.7511655708308389023"
